08月28日 20:40	YANZiKAii	妈的怎么全是昆山海龙哥？佛了 ​
08月29日 08:49	二爬2013	#昆山震川路砍人# 昆山龙哥本命年还瞎纹身，注定在劫难逃。下辈子一定要提前学习纹身小常识：纹龙不过肩，纹虎不下山。观音闭眼不救世，关羽睁眼必杀人。 纹身不纹嗜血狼，独狼带血家必亡。群狼不狠扛不住，断手断脚命不长。纹身不纹唐三藏，九九八一难相抗。纹身不纹小哪吒，龙遇哪吒命丧涯。纹身不 ​ 展开全文c
08月29日 08:43	JD狗厂坊间八卦	一起来看看昆山被反杀纹身哥辉煌的历史战绩：姓名：刘海龙2001年7月，因犯盗窃罪被判四年六个月；2006年9月7日，因打架被行拘五日；2007年3月，因犯敲诈勒索罪被判九个月；2009年5月11日，因犯故意毁坏财物罪被判三年；2013年7月19日，因犯寻衅滋事罪和故意伤害罪被判两年两个月。 ​五次 ​ 展开全文c
08月29日 08:38	芥末开门	跟周润发任达华陈小春比，还是昆山龙哥接地气。 ​
08月29日 08:32	房木多	君子动口不动手。 大家都这样解决矛盾，社会就祥和了很多，不会发生昆山震山路龙哥事件了。 O网页链接 ​
08月29日 08:27	草根微言	【不能把老实人放在和黑社会大哥同等过错的地位】对于江苏昆山砍人案件：第一，宝马车开到了自行车道上，纹身龙哥一方交通违法在先。第二，纹身龙哥多人欺负一人。第三，纹身龙哥先持长刀砍人。第四，网友后续搜出的视频显示，纹身龙哥绝非善类，疑是黑社会大哥的身份。冲突的整个过程根本不是什 ​ 展开全文c
08月29日 08:25	滚球老邪	#追砍电动车主遭反杀#网上看到昆山纹身哥辉煌的历史战绩：刘海龙，2001年7月因犯盗窃罪被判四年六个月；2006年9月7日因打架被行拘五日；2007年3月因犯敲诈勒索罪被判九个月；2009年5月11日因犯故意毁坏财物罪被判三年；2013年7月19日因犯寻衅滋事罪和故意伤害罪被判两年两个月。 ​五次坐牢，从19 ​ 展开全文c
08月29日 08:23	口味桑	昆山龙哥的日常装逼系列: 威风霸气的演武 O网页链接 ​
08月29日 08:13	口味桑	昆山龙哥“最后的晚餐”，大家来感受一下龙哥的音容笑貌 O网页链接 ​
08月29日 08:05	101师温特斯	昆山龙哥火了，从他摆弄搏击姿势的视频看估计水平也高不到哪去，否则也不会用刀袭击别人了。真正的搏击高手如图三，腹部是没有这么多赘肉的 ​
08月29日 08:04	沈涛	网上出现好几段昆山龙哥的视频，看了几段，越看越觉着这社会哥可怜可悲。因为他在那个圈子里，可能也就是那帮狐朋狗友们的笑料，包括他的纹身，他所谓的武功。或许他自己也有可能意识到这一点，所以更是拼了命地想表现自己有多么的义气，有多么的威猛。但最终，社会哥却还是装逼把自己装死了…… ​ 展开全文c
08月29日 08:03	哦几个人了	#昆山震川路砍人#就这种劣迹斑斑的纹身哥，大家就不要再多关注了，其实也可以看看那些左一个龙哥又一个龙哥在微信里面喊得可亲的人，这些人都是谁？ ​
08月29日 08:02	公考滨哥	昆山龙哥被砍案，我觉得法律人士的观点与社会现实脱节，我也不想再参加讨论了，讨论多了会暴露我的无知。我只是略略有点失望！ ​
08月29日 10:59	映蕊流年2	#昆山龙哥#之电动车男:在宋朝你就是青面兽杨志、行者武松、豹子头林冲等梁山好汉。在金庸的书里你就是侠客是郭靖、是杨过、是张无忌、是江南七侠，在民国你就是大刀王五、燕子李三。在我党历史上就是贺龙的两把菜刀。在现在你就是犯罪嫌疑人。 ​
08月29日 10:59	流觴曲水话兰亭	『转载：回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！_但斌』O网页链接 ​
08月29日 10:57	小毛头mam	呵呵『转载：回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！_但斌』O网页链接 ​
08月29日 10:57	明空略懂	#昆山龙哥#昆山龙哥，黑社会扛把子，卒 ​
08月29日 10:57	胖次外穿的直男	#昆山震川路砍人#社会我龙哥，带刀被反杀 ​
08月29日 10:56	熊猫upup	昆山纹身男刘海龙生平事迹：   2001年7月因犯盗窃罪被北京市东城区人民法院判处有期徒刑四年六个月； 2006年9月7日因打架被江苏省昆山市公安局处行政拘留五日； 2007年3月因犯敲诈勒索罪被江苏省昆山市人民法院院判处有期徒刑九个月； 2009年5月11日因犯故意毁坏财物罪被江苏省昆山市人民法院判处有期 ​ 展开全文c
08月29日 10:55	平和的猫	这个得转『转载：回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！_但斌』O网页链接 ​
08月29日 10:51	lawroom666	昆山龙哥这事，还挺魔幻现实主义的 ​
08月29日 10:51	看什么看你亲妈死了吗	#宝马砍人#一代拳皇刘海龙大师，由于夜夜笙歌身体甚是乏累，手里的刀都没握紧，拥有王者限量皮肤的他被倔强青铜小号极限反杀#昆山震川路砍人##宝马车砍人被反杀##刘海龙# O网页链接 ​
08月29日 10:50	Timberlake_Yuan	龙哥纹身车藏刀，酒驾欺人戾气嚣。装逼不成刀被抢，肠子一地葬沙雕。应大家要求，打个码#昆山震川路砍人##追砍电动车主遭反杀# ​
08月29日 10:48	IT笨熊猫	昆山龙哥的热点立即把滴滴顺风车的案件稀释了。滴滴松了一大口气。 ​
08月29日 12:57	温家新	【喝咖啡加葱花】我承认：我是一个普通人，我是一个怂人！从没打过架的，从未与人红过脸的我，除了菜刀、水果刀 遵纪守法的老实人们, 想一想面对昆山龙哥你会怎么办吧? 是逃跑还是跪下求饶! O网页链接 ​
08月29日 12:56	徐诺壹生	昆山龙哥砍人反被杀！我想看看群众支持无罪的有多少！本人认为此事件适用中国《刑法》第20条第3款规定！支持无罪的回复1.支持防卫过当的回复2.支持故意伤害罪的回复3！ 2宜兴 · 宜城街区 ​
08月29日 12:56	雨声敲敲	昆山龙哥这案子，不大可能判正当防卫的。中国人喜欢折中，正常情况下各打50大板。龙哥砍人酒驾有前科，所以调节一下比如龙哥95大板（无法执行），于哥5大板。但是绝不能一板不打，如果开了先河，一旦有机会大家就往死里整，然后法院量裁权越来越小，不好控制，不利和谐。 ​
08月29日 12:56	黄仙洞土农民	#昆山龙哥# 不会用刀等于帮别人带刀，不作死就不会死。 ​
08月29日 12:55	荣昌	社会我龙哥，死于本命年。刘海龙 1982年生，安徽合肥人。2001年7月因犯盗窃罪被北京市东城区人民法院判处有期徒刑四年六个月；2006年9月7日因打架被昆山市GA局处行政拘留五日；2007年3月因犯敲诈勒索罪被判处有期徒刑九个月；2009年5月11日因犯故意毁坏财物罪被判处有期徒刑三年，2011年3月24日释 ​ 展开全文c
08月29日 12:54	网聚思想	刘海龙加入的天安社到底是个什么组织？昆山公安应该了解一下。网聚思想 L天安社 ​
08月29日 12:54	珠宝玉石鉴定工作室	#昆山震川路砍人#原来社会我龙哥还是拘留所和监狱的常客啊劣迹斑斑啊 ​
08月29日 12:53	用户6345994656	#昆山震川路砍人# 真相还原：江苏昆山宝马司机龙哥持刀追砍电动车主被反杀。江苏网警评论：别以为拿把刀就能吓唬人了，耍不好，只会给对方送装备。 ​ 2郑州 · 汝河路街区 ​
08月29日 12:53	星命叔	昆山刘海龙，王者变青铜 ​
08月29日 12:52	九哥看房	【8.27昆山"龙哥"事件】目前的法律，是中国的"爹"。如果，连法律都忽紧、忽松，得不到落实、人人平等，还扯什么道德？没有法律的道德，更扯。 ​
08月29日 12:52	温家新	【喝咖啡加葱花】龙哥是大哥，满身纹身让人一看就不寒而栗；龙哥爱面子，撞了别人也要别人道歉，因为大哥就要雄 致昆山龙哥: 我们同情的不是杀人凶手, 我们只是可怜我们自己 O网页链接 ​
08月29日 12:51	愚乐圈钱显神通	#昆山震川路砍人##昆山龙哥# 你太嚣张了，走路都这么嚣张，哼。不是看在你主人份上，一油门撞死你。 L愚乐圈钱显神通的微博视频 ​
08月29日 12:51	两只黄鹂乘舟将欲行	回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣『天下美食出北京』O¡¾天下美食出北京¡¿ 看今天这篇文章的时候，大家不要问我龙哥是谁，相信只要会使用手机，会上网的朋友都应该看了龙哥被砍死的视频，不管你看完笑没笑，龙哥真的是死了。龙哥的生命停止在2018年的8月27日，如果实在不知道的请自己百度昆山龙哥。然而27号... ​
08月29日 12:49	乔志峰	前段时间去昆山，只顾四处吃喝玩，竟然不知道当地有龙哥这号猛人，太孤陋寡闻了。#光头游天下##昆山旅行# ​
08月29日 12:49	zerham泽瀚	昆山龙哥是上天派来拯救滴滴的。 ​
08月29日 12:49	袁国宝	#天安社##昆山震川路砍人##昆山龙哥# 天安社了解下。组织庞大，粉丝众多。这哥们不然害了自己，天安社也该被收拾了，相关直播平台也够呛了……就冲这组照片，大家说怎么办好呢 ​
08月29日 12:48	henghenghen	【喝咖啡加葱花】龙哥是大哥，满身纹身让人一看就不寒而栗；龙哥爱面子，撞了别人也要别人道歉，因为大哥就要雄 致昆山龙哥: 我们同情的不是杀人凶手, 我们只是可怜我们自己 O网页链接 ​
08月29日 12:48	怎能我不变态	回顾昆山龙哥之前的18年，你就没见过如此的人渣！- O网页链接 -[来自NGA玩家社区的分享] ​
08月29日 12:45	longwang1976	回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！ （分享自 @抽屉新热榜） O回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！ ​
08月29日 12:45	抽屉新热榜	【回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！ 】龙哥的祖籍是甘肃人，那里是他出生的地方，然而阵亡的地方是在几千公里以外的昆山。要知道龙哥的死，让我们普及了一个新的地理知识。因为如果他不死，我真的不知道江苏有个城市叫昆山。我不知道那里的景色有多美，我只知道那里不少人真的很 ​ 展开全文c
08月29日 12:44	斜风细雨的春天	致昆山龙哥: 我们同情的不是杀人凶手, 我们只是可怜我们自己O网页链接 ​
08月29日 12:43	-呼吸困难的屠海南	昆山龙哥走了，骑自行车的是华美达保安队长，以前特种野战军的 #电动车反杀是否为正当防卫#此案件应该如何定性，杀人者要判刑吗？ ​
08月29日 12:41	王仁根律师	发布了头条文章：《龙哥砍人反被砍案是正当防卫吗》 #昆山宝马车砍人# O龙哥砍人反被砍案是正当防卫吗 ​
08月29日 12:41	江佐君	昆山龙哥：扶我起来，我还能打 O网页链接 ​
08月29日 12:40	含着樱桃抓着奶P	昆山龙哥的日常装逼系列: 威风霸气的演武 O网页链接 ​
08月29日 12:39	苦尽甘来花儿开	这个死者刘海龙01年就因为盗窃在北京被判了四年零六个月，06年因为打架在昆山被拘留，07年因为敲诈勒索被判九个月，09年故意毁坏财物被判三年，11年提前释放，13年7月又因为故意伤害被关押，14年3月估计找到靠山了直接庭下和解然后无罪释放。这种人渣今年三月份还得了昆山市见义勇为荣誉证书，十几年一 ​ 展开全文c
08月29日 12:39	四不先生V	媒体报道江苏昆山宝马司机龙哥持刀追砍电动车主被反杀。网友评论：别以为拿把刀就能吓唬人了，耍不好，只会给对方送装备。 ​
08月29日 12:39	苦尽甘来花儿开	大家顶起来这个死者刘海龙01年就因为盗窃在北京被判了四年零六个月，06年因为打架在昆山被拘留，07年因为敲诈勒索被判九个月，09年故意毁坏财物被判三年，11年提前释放，13年7月又因为故意伤害被关押，14年3月估计找到靠山了直接庭下和解然后无罪释放。这种人渣今年三月份还得了昆山市见义勇为荣誉证 ​ 展开全文c
08月29日 12:38	苦尽甘来花儿开	这个死者刘海龙01年就因为盗窃在北京被判了四年零六个月，06年因为打架在昆山被拘留，07年因为敲诈勒索被判九个月，09年故意毁坏财物被判三年，11年提前释放，13年7月又因为故意伤害被关押，14年3月估计找到靠山了直接庭下和解然后无罪释放。这种人渣今年三月份还得了昆山市见义勇为荣誉证书，十几年一 ​ 展开全文c
08月29日 12:38	含着樱桃抓着奶P	昆山宝马实线变道违规撞电动车事件中被反杀的龙哥 O网页链接 ​
08月29日 12:37	涧亭	当代周处『转载：回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！_但斌』O网页链接 ​
08月29日 12:36	闲来捉鳖	必须收回“防卫过当”的误解，昆山义士手刃黑社会，不仅没有防卫过当，而且是为民除害，应当嘉奖。O¡¾天下美食出北京¡¿ 看今天这篇文章的时候，大家不要问我龙哥是谁，相信只要会使用手机，会上网的朋友都应该看了龙哥被砍死的视频，不管你看完笑没笑，龙哥真的是死了。龙哥的生命停止在2018年的8月27日，如果实在不知道的请自己百度昆山龙哥。然而27号... 2北京·大瓦窑 ​
08月29日 12:36	慕容海同学	#昆山龙哥# 社会我龙哥，人狠讲究多。装逼未成身先死，宝马纹身尽沙雕。O网页链接 ​
08月29日 12:36	刘平安Siye	#昆山震川路砍人# 昆山龙哥本命年还瞎纹身，注定在劫难逃。下辈子一定要提前学习纹身小常识：纹龙不过肩，纹虎不下山。观音闭眼不救世，关羽睁眼必杀人。 纹身不纹嗜血狼，独狼带血家必亡。群狼不狠扛不住，断手断脚命不长。纹身不纹唐三藏，九九八一难相抗。纹身不纹小哪吒，龙遇哪吒命丧涯。纹身不 ​ 展开全文c
08月29日 12:36	巫俠雄霸天下	致“昆山市见义勇为基金会”，请问一下，这个刘海龙是怎么拿到这个荣誉证书的？他弘扬了什么社会公德、伸张了什么正义、干了什么维护社会治安的事？把他保护国家、集体、人民生命财产安全贡献突出的事情也拿出来说说，这个证是2018年3月30日才发的，时隔不久，你们应该能想起来吧。 ​给老铁们一个答复 ​ 展开全文c
08月29日 12:35	AAA见龙在田	『转载：回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！_但斌』O网页链接 ​
08月29日 12:35	茂林山翁	看来这随身携带国家法定管制刀具的“纹身龙哥”持刀是为了方便自己随时随地“见义勇为”？！网传昆山死亡宝马男曾获见义勇为证书 警方:正核实 O网传昆山死亡宝马男曾获见义勇为证书警方:正核实 ​
08月29日 12:33	旅游达人蛙叔叔	我怎么感觉昆山被砍死的社会大哥有点耳熟？是不是@郭德纲 老师的单口相声白小平上坟里面出现过？#昆山龙哥##昆山震川路砍人# 2海东地区·西宁市城东区 ​
08月29日 12:32	魏明哲-l	龙哥被爆装备后撒娇“学猫叫”#追砍电动车主遭反杀##昆山龙哥# 打个小猫咪码别删我视频！ O网页链接 ​
08月29日 12:30	InisogomaZHU	分享自但斌《转载：回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！》 - 回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！ 原创： 小愤青儿郭思遥 天下美食出北京 今天 来这... (来自 @头条博客) O转载：回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！ ​
08月29日 12:30	慕容海同学	昆山你龙哥，个矮纹身多，装逼刀滑落，被砍一百多 。网评:活逼该。总结:纹身不纹嗜血狼，独狼带血家必亡。纹身不纹下山虎，猛虎下山反噬主。纹身不纹睁眼关，睁眼关公杀人间。纹身不纹唐三藏，九九八一难相抗。纹身不纹小哪吒，龙遇哪吒命丧涯。纹身不纹老钟馗，避鬼不成反招贼。要纹就纹喜羊羊，眼睛 ​ 展开全文c
08月29日 12:29	Angel健康快乐	分享自但斌《转载：回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！》 - 回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！ 原创： 小愤青儿郭思遥 天下美食出北京 今天 来这... (来自 @头条博客) O转载：回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！ ​
08月29日 12:28	黑加吉的快乐生活	爱笑的男孩运气不会太差，龙哥除外#昆山震川路砍人##昆山龙哥# ​
08月29日 12:26	蒋勇伟律师	#昆山震川路砍人# 十八年来，龙哥在法庭上一直是被告人，四次入狱。最后一回，成了被害人，可惜丢了性命。传为笑谈，悲夫。是否是防卫过当，尚需看案发详情。 2苏州·江苏新苏律师事务所 ​
08月29日 12:24	圣僧来问我	今日网上最热门的话题就是昆山龙哥被反杀。无数网民在为白衣哥点赞，但同时也有无数网民在为白衣哥除恶举动担忧，认为白衣哥除恶是防卫过当，会被判刑。甚至有律师都说白衣哥是防卫过当。他母亲的，一个公民骑车被黑恶分子砍杀，竟然会有人说防卫过当的屁话来。不夸张的说昆山龙哥作恶多端，在被反杀 ​ 展开全文c
08月29日 12:22	新兵蛋子V	掐指一算，一大波龙哥表情包即将席卷网络#昆山震川路砍人# 蛋言蛋语 ​
08月29日 12:21	期货的扫地僧	『转载：回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！_但斌』O网页链接 ​
08月29日 12:21	思涵之声	我发表了头条文章:《转载：回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！》 O转载：回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！ ​
08月29日 12:20	金戈汗马	【纹身扑街刀哥是天安社，主要生活来源“放贷”和“中介”】#榕树下讲闲谈# 昨天扑街的昆山大B哥刘海龙，自己的刀给了电瓶车，然后被自己的刀砍死。据说纹身哥所在的天安社，其实是一个中年男性短视频Cosplay团体，早期致力于在快手上扮演社团故事，对中年男性有神秘诱惑力，主要生活来源是放贷和中介 ​ 展开全文c
08月29日 12:19	轩是翟精轩的轩	昆山龙哥的事教育我们，遇见危险无论你是青铜还是王者，撒腿就跑才是正确做法。自行车大哥算是倒血霉了，喝酒的是龙哥，拿刀的也是龙哥，坐牢的八成是自己了。#昆山 震川路砍人 宝马男 纹身男# ​
08月29日 12:19	阳光下生长的小草	摩擦—挑衅—拿刀—砍人—被砍—扑街—被网友骂，这一整套的社会新闻流程，海龙大哥竟与受害人不分彼此，一个人全部承担了，朋友们，除了昆山刘海龙，你们还见过这么负责任的黑社会吗？ ​
08月29日 12:17	2018的初恋	恶人，希望砍他的人判为民除害！回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！O¡¾天下美食出北京¡¿ 看今天这篇文章的时候，大家不要问我龙哥是谁，相信只要会使用手机，会上网的朋友都应该看了龙哥被砍死的视频，不管你看完笑没笑，龙哥真的是死了。龙哥的生命停止在2018年的8月27日，如果实在不知道的请自己百度昆山龙哥。然而27号... ​
08月29日 12:16	江佐君	昆山龙哥人生中最后的八秒 O网页链接 ​
08月29日 12:14	肖迷路	昆山纹身哥的高光战绩：刘海龙，2001年7月因犯盗窃罪被判四年六个月；2006年9月7日因打架被行拘五日；2007年3月因犯敲诈勒索罪被判九个月；2009年5月11日因犯故意毁坏财物罪被判三年；2013年7月19日因犯寻衅滋事罪和故意伤害罪被判两年两个月。 ​ #电动车反杀是否为正当防卫#此案件应该如何定性，杀人者要判刑吗？ ​
08月29日 12:14	知面识人	可以说昆山龙哥像一把利刀，撕开了社会的蒙皮，让人看到了这样的现实，一个老实做人的中年人骑着电动车，被人欺负；一个进了5次监狱的人，却能开着宝马车，朋友吆五喝六，喝酒吃肉，美女相伴; ​
08月29日 12:11	今日聊城头条	#昆山震川路砍人##昆山龙哥# 首先实线变道不对，携带刀具违法！主动拿刀具伤人更违法！电动车抢过刀具到底属于正当防卫吗？网友说：白瞎了这一身纹身了，他高喊：“人挡杀人，佛挡杀佛的”。还是希望深挖，黑社会组织，严打黑社会。天安社是什么组织到底有没有？想知道电车大哥咋样了？ ​ 展开全文c
08月29日 12:11	特工思维营朱江明	都说龙哥装逼被砍死，作为锤子手机的受害者我还以为罗玉龙被砍死了呢，白高兴半天！@罗永浩@锤子科技客服@锤子科技 #昆山震川路砍人# ​
08月29日 12:11	豆豆dee微博	从此昆山再无龙哥 ​
08月29日 12:08	蜉蝣之象	昆山龙哥真是个极好的隐喻。以为纹了身，有了皮肤，就是王者段位，自以为山鸡浩南哥。就跟很多生物穿上了衣服，学会了直立行走，就以为自个是，人。耍刀是你，扑街也是你。别的不知道，您装逼遭雷劈的架势，已臻化境。 ​
