2013年01月05日 00:58	萧阅心	新闻人物：真实袁厉害(图) O网页链接 @搜狐新闻客户端。 望世间多些像袁这样的爱心人士！ ​
2013年01月05日 00:32	弓虽猪仔	中国的政府职能机构工作都很被动，在其位而不思谋其政，非等到事情找上他们，都不知道去主动发现问题解决问题，河南惨案一桩接着一桩，大国连几个孩子都保护不了，谈何崛起，谈何小康！！！小康也只是少数人的小康！！袁厉害，向你致敬，你做了本该政府该做的事，也替政府背着黑锅！！！ ​
2013年01月05日 00:30	蕖華	蛮震撼心灵的图片 袁厉害的母亲在喂先天兔唇的婴儿 即使身有缺陷 身为父母弃婴做法 天理难容 触及法律 也不是每个兔唇孩子都能像李嫣好命有福分 也感谢天后这个患有兔唇的孩纸 才有了李嫣天使基金 兰考县收养所火灾 让人心痛 默默允诺一定要实际去参与一些力所能及的爱心活动[爱心传递] ​
2013年01月05日 00:25	我爱小冬子	看了袁厉害收养弃婴的事情泪流满面，对这个社会的冷酷无话可说。那些可怜的孩子，有的跟小冬子差不多大，却饱受着人间的沧桑。尽管他们吃不好，穿不暖，总还有一个好心人愿意帮助他们，而那些无耻的官员们，你们的良心在哪里？ ​
2013年01月05日 00:21	杨克勤	#河南弃婴收养所火灾#袁厉害收养百余弃婴被疑骗保 O网页链接 @搜狐新闻客户端 ​
2013年01月05日 00:19	若在南邮遇见你	袁厉害卖孩子牟利称穷得没法 O网页链接 @搜狐新闻客户端是啊，政府在哪里？只会鱼肉百姓 ​
2013年01月05日 00:19	龙马精神yssh	【兰考烧死7孤儿政府难辞其咎】袁厉害的无证孤儿所25年收养上百残疾儿没遭取缔，还有医院派出所也将孩子往里送，见证了搪责政府的荒唐！如是非法野生动物店，取缔了有利无负担，残疾儿收养所取缔了政府负担大，故兰考至今无孤儿所，孤儿还不如动物。O河南兰考孤儿收养所火灾致7死 ​
2013年01月05日 00:18	醋熘班主任	【河南兰考“爱心妈妈”孤儿收养所起火 7名孩童死亡】1月3日8时许，有着“爱心妈妈”之称的河南兰考人袁厉害家中发生火灾，七名孩子丧生。袁厉害以收养遗弃孩童闻名，袁在兰考县城没有固定住处，平时都和收养的孩子住在摆摊的 O河南兰考“爱心妈妈”孤儿收养所起火 7名孩童死亡_资讯频道_凤凰网 （分享自 @）一个普通女人有义务收养这些孩子吗？ ​
2013年01月05日 00:17	杨克勤	河南兰考孤儿院：袁厉害与她的孩子们 O网页链接 @搜狐新闻客户端 ​
2013年01月05日 00:17	揾笨大叔	袁厉害掉下了眼泪：“我穷得没法，需要钱养这些孩子的时候，你们又在哪里？” ​
2013年01月05日 00:16	pyq1976	袁厉害：“我穷得没法，需要钱养这些孩子的时候，你们又在哪里？”---------兰考火灾 ​
2013年01月05日 00:15	面-拉-牛-肉	袁厉害，我相信你！ ​
2013年01月05日 00:14	唔系医生	袁厉害卖孩子牟利称穷得没法 O网页链接 @搜狐新闻客户端 ​
2013年01月05日 00:14	甯宝贝海蓝蓝	收养弃婴25年，政府在做什么？可怜死去的孩子们[【新华微评】兰考民宅失火，烧死7名孤儿、弃婴，也烧出诸多疑问。2011年曾有报道称袁厉害25年收养上百个弃婴、靠打零工摆地摊抚养、希望建个孤儿院。火灾后又现袁厉害被疑为骗低保、以收养为名拢钱等说法。为何默许孤儿和弃 ​
2013年01月05日 00:14	沉默2727164一五三	袁厉害卖孩子牟利称穷得没法 O网页链接 @搜狐新闻客户端 ​
2013年01月05日 00:09	以玛内丽2018	早上8时，兰考县一收养孤儿和弃婴的私人场所发生火灾，目前已造成7名孩童死亡。据现场民警介绍，起火地点为兰考人@袁厉害家，袁厉害多年来一直在兰考县人民医院门口摆摊卖东西，以收养弃婴和孤儿出名，其安置孤儿和弃婴的地方紧邻兰考县卫生局和兰考县人民医院，具体伤亡人数和事发原因正在调查之中。 ​
2013年01月05日 00:09	东方今报	【需要钱养这些孩子的时候，你们在哪里？】1月4日，河南兰考县妇女袁厉害的家失火，收养的7名孤儿和先天残疾弃婴遇难。2012年，有人举报袁厉害把一些医治好的婴儿出卖牟利，民政部门认定袁厉害“非法收养”。袁哭诉：“我穷得实在没办法了！需要钱养这些孩子的时候，你们又在哪里？”图为袁厉害的家。 ​
2013年01月05日 00:07	天堂纪念网抗战英烈谱	河南“爱心妈妈”袁厉害家火灾7名儿童烧死天堂纪念馆地址：O网页链接 7名儿童_7名儿童追忆文库_天堂纪念网_天堂网 O7名儿童_7名儿童追忆文库_天堂纪念网_天堂网 ​
2013年01月05日 00:07	天堂纪念网抗战英烈谱	7名儿童_7名儿童追忆文库_天堂纪念网_天堂网 河南“爱心妈妈”袁厉害家火灾7名儿童烧死天堂纪念馆地址：O网页链接 O网页链接 ​
2013年01月05日 00:06	股海鸣潮	＂那个某某宝呢？在你任期内民政局工作咋抓的？你就记得管大事吧。＂袁厉害卖孩子牟利称穷得没法 O网页链接 @搜狐新闻客户端 ​
2013年01月05日 00:05	股海鸣潮	兰考收养所"爱心妈妈"被控制 据河南警方消息，兰考孤儿收养所创办人袁厉害已被控制，并接受讯问调查；今晨该收养所火灾致7名幼儿死亡。 O网页链接 @搜狐新闻客户端 ​
2013年01月05日 00:03	fox3696	有些地方的政府真牛 咋不早点控制控制房叔房妹呢 有能耐咋不出点钱帮人家搞个福利院呢 钱都送给房叔了吧 还控制呢 好像是她指使纵火的一样河南“爱心妈妈”袁厉害被警方控制 接受调查 O河南“爱心妈妈”袁厉害被警方控制 接受调查_资讯频道_凤凰网 分享自@凤凰客户端 ​
2013年01月05日 00:03	东京鸟巢	[哭]但不是纵火，放心了/兰考弃婴收养所火灾遇难者名单公布 最小者仅7月大 - 事发场所为兰考县县城北关一户居民楼房，火灾中死伤人员为该户户主袁厉害家庭收养的弃婴和孤儿。 O兰考弃婴收养所火灾遇难者名单公布 最小者仅7月大-中新网 （分享自 @中国新闻网） ​
2013年01月05日 00:00	上海之曹杨	兰考袁厉害:“我穷得没法，需要钱养这些孩子的时候，你们又在哪里？” 搜狐新闻 O网页链接三五005 我在:2斜土路 ​
2013年01月05日 02:58	逆风蝴蝶	兰考的袁厉害，不是普通的收养，她是救助式收养，让我想起一首歌：假如你不曾养育我，给我温暖的生活，假如你不曾保护我，我将会命运是什么？她收养无数弃婴，政府视而不见；这些孩子视她为妈妈，出了事故，政府就抓妈妈。 ​
2013年01月05日 02:33	北京李松林	发表了博文 《孤儿收养所的一把火烧出多少遗憾》 - 孤儿收养所的一把火烧出多少遗憾 文/李松林 1月4日早上8时许，河南省兰考县“爱心妈妈” 袁厉害创办的孤儿和弃婴收养所发生火灾，此次火灾共造 O孤儿收养所的一把火烧... ​
2013年01月05日 02:33	梦晨伤	袁厉害，兰考一名村妇，从1987年收养第一名兔唇男婴开始，至今20多年收养弃婴已超过百名。其中年龄大的已工作结婚，小的只有几个月。——2013年1月4日上午，袁厉害家发生火灾，被收养孩童中7人不幸丧生。——袁厉害已经被警方控制，并接受讯问调查。 O袁厉害_百度百科 ​
2013年01月05日 02:25	天堂纪念网抗战英烈谱	#孤儿收养所火灾# 河南“爱心妈妈”袁厉害家火灾7名儿童烧死天堂纪念馆地址：O网页链接这绝不是袁厉害的悲剧，这是国家的悲剧！是扇给民政部门的一记响亮的耳光！人心不古，体制不仁.耻辱酿成了灾难.：袁厉害起码在做实事，民政和慈善机构呢 详情:O查看话题详情 ​
2013年01月05日 02:22	天堂纪念网抗战英烈谱	河南“爱心妈妈”袁厉害家火灾7名儿童烧死天堂纪念馆地址：O网页链接河南“爱心妈妈”袁厉害家火灾7名儿童烧死天堂纪念馆地址：O网页链接这绝不是袁厉害的悲剧，这是国家的悲剧！是扇给民政部门的一记响亮的耳光！人心不古，体制不仁.耻辱酿成了灾难.：袁厉害起码在做实事 ​
2013年01月05日 02:22	河科大淘宝社副社	袁厉害与她的孩子们 O网页链接 @搜狐新闻客户端 有能力援助或者借债给这个国家，哪个国家，难道连自己国家的未来都没办法守护吗？？这个沉甸甸的担子要落到个别有良知的肩膀上面，出了事，还要问责，这是怎样的国家和政府啊 ​
2013年01月05日 02:08	天堂纪念网抗战英烈谱	河南“爱心妈妈”袁厉害家火灾7名儿童烧死天堂纪念馆地址：O网页链接 7名儿童_7名儿童纪念馆_天堂纪念网_天堂网 O7名儿童_7名儿童纪念馆_天堂纪念网_天堂网 ​
2013年01月05日 02:01	山猫和小猫	#孤儿收养所火灾# 别说没有资格，袁厉害根本就没有能力抚养这么多儿童，况且大部分还是病残儿童。一个正常收入家庭，多养几个孩子，负担重不重？就是一个富裕的家庭，抚养几十上百个孩子，又能不能负担得起？这不幸是给了政府一记响亮的耳光，中国之耻 详情:O查看话题详情 ​
2013年01月05日 04:55	熊永林律师	4日早上8时许，兰考县一收养孤儿和弃婴的私人场所发生火灾，目前已造成7名孩童死亡。起火地点为兰考人袁厉害家，多名儿童在火灾中伤亡。袁厉害多年来一直在兰考县人民医院门口摆摊卖东西，以收养弃婴和孤儿出名。二十多年来，她一共收养了弃婴100多名。目前，她已被警方控制。 ​
2013年01月05日 04:36	Jennifer-_-	怎么可以把孩子遗弃呢 这些父母太可怕了 政府应该尽可能给最好的帮助 因为他们实在太可怜了 //【河南“爱心妈妈”袁厉害20年收养上百弃婴】O网页链接 (分享自 @今日头条) ​
2013年01月05日 04:30	熊永林律师	1月4日早上8时许，兰考县“爱心妈妈” 袁厉害创办的孤儿和弃婴收养所发生火灾，当场造成4人死亡，3人在送往医院途中不治身亡，另外1人由于伤情较重，已由兰考人民医院转至开封市第二人民医院接受治疗。火灾事件中死伤儿童所在的收养所创办人袁厉害已经被控制，并接受警方讯问调查。 ​
2013年01月05日 04:18	吉则吻合	@逆风蝴蝶 兰考的袁厉害，不是普通的收养，她是救助式收养，让我想起一首歌：假如你不曾养育我，给我温暖的生活，假如你不曾保护我，我将会命运是什么？她收养无数弃婴，政府视而不见；这些孩子视她为妈妈，出了事故，政府就抓妈妈。 ​
2013年01月05日 04:18	传世文摘	今天早上8时许，河南兰考县一收养孤儿和弃婴的私人场所发生火灾，起火地点为兰考人袁厉害家，袁厉害多年来一直摆摊，以收养弃婴和孤儿出名。目前，事故造成7人死亡，1人正在抢救中。伤亡孩童均年龄较小(有的正在吃奶中)或智商有问题，因为年龄偏大的孩子都去上学了。 ​
2013年01月05日 04:10	jndz0007的新家	【河南失火收养家庭7名孤儿因不能走殒命 网易新闻】核心提示：1月4日8时30许，河南兰考县收养孤儿和弃婴的“爱心妈妈”袁厉害家里发生火灾，造成7人丧生。袁厉害的亲戚称，遇难孩子都是因不能行走火中殒命。失火时，袁... O兰考民政局：未救助孤儿因无强制执法权_网易新闻中心 ​
2013年01月05日 04:07	澳大利亚华人	【河南兰考袁厉害25年收养弃婴过百 被疑骗低保(组图)】 | Img4586930_n_调整大小兰考1.04火灾死伤人员名单：死者：五孩，男，20岁；小雨，女，约5岁；扎根，男，4岁；傻妮，女，3岁；小哑巴，男，2 岁；男婴，男，1岁 O网页链接 ​
2013年01月05日 06:58	海洋-细节决定成败	兰考民政局指袁厉害收养不合法 O兰考民政局指袁厉害收养不合法 当地没有福利院（分享自@凤凰客户端）谁不要脸？zf ​
2013年01月05日 06:57	何必故乡	【河南“爱心妈妈”袁厉害被警方控制 接受调查】早上8时许，兰考县“爱心妈妈” 袁厉害创办的孤儿和弃婴收养所发生火灾，当场造成4人死亡，3人在送往医院途中不治身亡。袁厉害从1987年开始收留残疾或有病孩子，25年来收养超过100个。老百姓、医院甚至110捡到孩子，都会送到她家中。h ​
2013年01月05日 06:56	熊永林律师	袁厉害收养孩子这么多年，政府主管部门做了什么？七个孩子死亡，袁厉害得负责什么？政府得负责什么？对于袁厉害的慈善之举，当地政府长期不作为，不支持不鼓励不规范，摆出一副与我毫不相干的架势。 ​
2013年01月05日 06:52	常熟记忆	河南收养家庭失火7人遇难 收养者遭控制 来源：新京报 事发后，袁厉害在现场向勘察人员说明情况。王中举摄 袁厉害的房子窗口有火烧的痕迹。新京报记者孔璞摄 原标题：豫... O网页链接 （使用新浪长微博工具发布 O发现一张好图，大家快来看看~） ​
2013年01月05日 06:52	抚远农民123	河南兰考民办收养所不具收养资格 疑拢钱骗低保 O河南兰考民办收养所不具收养资格 疑拢钱骗低保_新闻_腾讯网 修桥补路双瞎眼，杀人放火儿女多，河南人啊，那个低保有多少钱，够给孩子们用吗？这也能质疑？袁厉害！好人！ ​
2013年01月05日 06:51	zoroloving	【河南兰考7名遇难弃婴因不能行走殒命】杜鹏介绍说，最近一段时间，袁厉害收养的孩子在20名左右，去年一直分两处居住。身体相对健康的住在袁厉害家里，而有智力障碍和严重残疾的住在人民医院北边的一处“花园”。所谓“花园”，是袁厉害起 O兰考官方：未救助弃婴因无强制执法权_资讯频道_凤凰网 （分享自 @） ​
2013年01月05日 06:48	滨城白衣	早上听了早间新闻，关于袁厉害的，记者抓住了她不具备收养资格不放。哎，听着怎么就那么心凉呢 ​
2013年01月05日 06:45	一叶清秋	【兰考民政局称袁厉害不具备收养资格 系非法收养】 O兰考民政局称袁厉害不具备收养资格 系非法收养_资讯频道_凤凰网 （分享自 @）一个只说不做的政府部门，有什么资格对一个有所作为的人评三道四？你有资格收养，你为什么不做？这帮人应当判个渎职罪！河南有好人，但当今河南恶人当道。每每媒体报道的都是管理者恶行，这就是中原大地的民风吗？ ​
2013年01月05日 06:40	中传冶金	【河南“爱心妈妈”袁厉害被警方控制 接受调查】 原标题：河南“爱心妈妈”袁厉害被警方讯问调查 核心提示：1月4日早上8时许，兰考县“爱心妈... O河南“爱心妈妈”袁厉害被警方控制 接受调查_资讯频道_凤凰网 ( 分享自 @鲜果联播 ) ​
2013年01月05日 06:40	一初枫舟	【河南“爱心妈妈”袁厉害被警方控制 接受调查】 原标题：河南“爱心妈妈”袁厉害被警方讯问调查 核心提示：1月4日早上8时许，兰考县“爱心妈... O河南“爱心妈妈”袁厉害被警方控制 接受调查_资讯频道_凤凰网 ( 分享自 @鲜果联播 ) ​
2013年01月05日 06:40	抚远农民123	【兰考民政局试图撇清责任 列举接收孩子的多种障碍】杨佩民表示,2007年以来,兰考县、开封市民政局及市福利院领导多次找到袁厉害,明确要求不得再收养弃婴。2011年9月,再次要求袁厉害交出收养的儿童,由政府统一收养。 O兰考民政局试图撇清责任 列举接收孩子的多种障碍_资讯频道_凤凰网 （分享自 @） ​
2013年01月05日 06:39	泉水清溪	【兰考民政局试图撇清责任 列举接收孩子的多种障碍】杨佩民表示,2007年以来,兰考县、开封市民政局及市福利院领导多次找到袁厉害,明确要求不得再收养弃婴。2011年9月,再次要求袁厉害交出收养的儿童,由政府统一收养。 O兰考民政局试图撇清责任 列举接收孩子的多种障碍_资讯频道_凤凰网 这帮东西的高收入、高福利没有障碍 ​
2013年01月05日 06:38	抚远农民123	【兰考民政局称袁厉害不具备收养资格 系非法收养】据了解，袁厉害从1996年至今，20多年间收养了100多个被父母遗弃的婴儿，O兰考民政局称袁厉害不具备收养资格 系非法收养_资讯频道_凤凰网 （分享自 @）不具备收养资格的收养了，具备收养资格的却漠不关心，出事了马上出来解释想把自己摘出去，还有良心吗？ ​
2013年01月05日 06:35	于帅洋是琢玉郎	当地没有福利院，一个底层妇女收养那么多，这种民间办福利当地平常不管理不帮助，出了事情把收养人抓起来担责；而那些指摘的人，不出一分力气，却以挑剔的眼光指责收养人借收养牟利，能牟利你们怎么不眸啊？【兰考民政局指袁厉害收养不合法 当地没有福利院】 O兰考民政局指袁厉害收养不合法 当地没有福利院_资讯频道_凤凰网 ​
2013年01月05日 06:31	兰格格的微博	流泪，流泪【弃婴，命若垃圾】 袁厉害从1987年开始收留残疾或有病的孩子，25年来前后收养的孩子超过100个，部分孩子因为没有足够的医疗救治而病重死去。袁厉害在当地颇为知名，老百 @21世纪网 O弃婴，命若垃圾|生活图集|袁厉害|爱心妈妈_21世纪网 ​
2013年01月05日 06:25	不住的祈祷	【河南兰考7名遇难弃婴因不能行走殒命】杜鹏介绍说，最近一段时间，袁厉害收养的孩子在20名左右，去年一直分两处居住。身体相对健康的住在袁厉害家里，而有智力障碍和严重残疾的住在人民医院北边的一处“花园”。所谓“花园”，是袁厉害起 O河南兰考7名遇难弃婴因不能行走殒命_资讯频道_凤凰网 （分享自 @） ​
2013年01月05日 06:22	凤笑丘	转自@糗事百科 今天7条孩子的人命都知道了吧。。。。。看到网上很多人说袁厉害为了套保险，为了卖器官等等。我就是兰考县人，袁厉害在我们县出... ​
2013年01月05日 06:21	沙里木	命若垃圾:河南兰考弃婴王国里的那些小生命 2013年1月4日，河南兰考袁家，警方现场勘察。当日，兰考县城关镇一居民楼发生火灾事故，“爱心妈妈”袁厉害收养的孩童中7人不幸丧生。当天上午，消防人员赶赴现场进行全力抢险，经现场清理，事故造成4人死亡，3人在送医途中抢救无效死亡，1人目前正在抢救中 ​
2013年01月05日 06:19	Mr-Q133	转自@糗事百科 今天7条孩子的人命都知道了吧。。。。。看到网上很多人说袁厉害为了套保险，为了卖器官等等。我就是兰考县人，袁厉害在我们县出... ​
2013年01月05日 06:14	智者不锐z	【兰考民政局指袁厉害收养不合法 当地没有福利院】由于收养孩子，袁厉害在当地成为家喻户晓的好人，很多人会主动上门帮助她。社会上的爱心捐赠成为她的一部分经济来源。好名声也给她带来了好生意。袁厉害曾对媒体表示，“县里有三条路都是我带领 O兰考民政局指袁厉害收养不合法 当地没有福利院_资讯频道_凤凰网 （分享自 @） ​
2013年01月05日 08:59	金鹰955电台	【兰考民政局称袁厉害不具备收养资格 对其定性是“非法收养”】 4日，河南兰考“爱心妈妈”袁厉害收养孩童中7人因火灾丧生。袁厉害是当地一名村妇，收养弃婴超百名。4日晚兰考民政局局长杨佩民称，按收养法规定，袁不具备收养资格。此前河南省民政厅对她的定性也是“非法收养”。 O兰考民政局称袁厉害不具备收养资格 对其定性是“非法收养”-财经网 ​
2013年01月05日 08:59	阿亮rofe	兰考官方不应指责袁厉害非法收养，而是应该承担起自己的那份责任！ ​
2013年01月05日 08:59	旁观者-在路上	兰考民宅失火，致7死1伤。死伤者多为弃婴和儿童。灾后，民宅主人－曾被社会赞誉的慈善人士袁厉害被警方控制并接受调查。同时，这位在过去25年中自费收养上百弃婴、靠打零工摆地摊抚养孤儿的善举又被冠以骗低保的罪名。令人心酸的是灾前，一心想建孤儿院的袁厉害为生计四处奔波。@光影迷图 @中国贸易报 ​
2013年01月05日 08:59	马贵龙1	【兰考孤儿所创办人曾带孩子闹事 向领养人收费】1月4日8时许，河南兰考县一收养孤儿和弃婴的私人场所发生火灾。据民警介绍，起火地点为兰考人袁厉害家。据了解，袁厉害多年来一直在兰考县人民医院门口摆摊，以收养弃婴和孤儿出名。目前，火灾已造成7人死亡，具体伤亡人数和事发原因正在调查之中。 ​
2013年01月05日 08:58	我从北方来-王春青	【袁厉害希望建孤儿院 河南省慈善总会捐助2万元】“看过报道，知道袁厉害现在有难处，我们综合考虑了一下，袁厉害也符合‘大河之爱’的捐助对象，我们就为袁厉害申请了2万元的救助金。”省慈善总会的工作人员杨吉中当天为袁厉害带去2万元救助金的同 O袁厉害希望建孤儿院 河南省慈善总会捐助2万元_资讯频道_凤凰网 （分享自 @） ​
2013年01月05日 08:58	me笑微	#袁厉害#声援袁妈妈！！！ ​
2013年01月05日 08:57	新浪河南	【兰考1·04火灾事故死伤人员名单】昨日上午8时许，河南省兰考县饱受争议的“爱心妈妈”袁厉害收养弃婴和残疾儿童的住所发生火灾，事故造成7死1伤。目前，事故原因正在调查中。详情>>O网页链接现场图>>O网页链接解读：袁厉害是在行善，还是在笼钱？O网页链接 ​
2013年01月05日 08:57	世上多好人	1月4日8时许，河南兰考县一收养孤儿和弃婴的私人场所发生火灾。据民警介绍，起火地点为兰考人袁厉害家。据了解，袁厉害多年来一直在兰考县人民医院门口摆摊，以收养弃婴和孤儿出名。目前，火灾已造成7人死亡，具体伤亡人数和事发原因正在调查之中。生下小孩不管？你他吗的不是人！！！！！！！！！ ​
2013年01月05日 08:56	花落尘泥	这帮官员太无耻，该他管的他不管！【兰考官方：未救助弃婴因无强制执法权】杜鹏介绍说，最近一段时间，袁厉害收养的孩子在20名左右，去年一直分两处居住。身体相对健康的住在袁厉害家里，而有智力障碍和严重残疾的住在人民医院北边的一处“花园”。 O兰考官方：未救助弃婴因无强制执法权_资讯频道_凤凰网 （分享自 @） ​
2013年01月05日 08:56	乐居微生活	【河南兰考火灾7名孤儿因不能行走殒命】1月4日8时30许，河南省兰考县收养孤儿和弃婴的“爱心妈妈”袁厉害家里发生火灾，造成7人丧生，其中6名儿童，1名成人，并有1名儿童受伤。据悉，遇难孩子都是因不能行走火中殒命。目前当事人袁厉害正在接受有关部门的调查。(新京报)via央视新闻 @扬子晚报 ​
2013年01月05日 08:56	维他命LP	《兰考民政局称袁厉害不具备收养资格 系非法收养》O兰考民政局称袁厉害不具备收养资格 系非法收养-手机凤凰网 ​
2013年01月05日 08:56	开心虫之开心时评	元芳，你怎么看？《兰考官员：袁厉害常向政府要条件 稍不从就带孩子闹事》O兰考官员：袁厉害常向政府要条件 稍不从就带孩子闹事-手机凤凰网 ​
2013年01月05日 08:56	不想上班的莫奈奈	【袁厉害不缺钱，搞房地产、包揽公路、替人讨债……这些活她都干。”借弃儿“伸手”向政府提条件，稍有不从，她便带着一群残疾孩子去办公室闹腾，甚至让孩子在办公室拉屎撒尿，折腾得大家都怕她。】圣母们的心都要碎了[挖鼻屎] ​
2013年01月05日 08:55	玲子纸鸳	现在人都怎么了。【袁厉害收养弃婴一事，有人质疑称袁厉害不具备收养孩子的条件，她把健康的孩子卖给愿意领养的人，也有人质疑她利用收养的孩子骗取低保。】如果说人人都向他们这么想，那么谁还敢去做好事那么些传统美德又如何延续下去？ O网页链接 ​
2013年01月05日 08:55	气象唐海林	@逆风蝴蝶(公益人士)：兰考的袁厉害，不是普通的收养，她是救助式收养，让我想起一首歌：假如你不曾养育我，给我温暖的生活，假如你不曾保护我，我的命运将会是什么？她收养无数弃婴，政府视而不见；这些孩子视她为妈妈，出了事故，政府就抓妈妈。 ​
2013年01月05日 08:55	芜湖张恒春	【兰考孤儿所创办人曾带孩子闹事 向领养人收费】1月4日8时许，河南兰考县一收养孤儿和弃婴的私人场所发生火灾。据民警介绍，起火地点为兰考人袁厉害家。据了解，袁厉害多年来一直在兰考县人民医院门口摆摊，以收养弃婴和孤儿出名。目前，火灾已造成7人死亡，具体伤亡人数和事发原因正在调查之中。 ​
2013年01月05日 08:55	最爱香瓜	救助小孩，很多报道质疑袁厉害牟利，但我想说，不管怎么样，政府你救助那些小孩了么，你有脸质疑么！ ​
2013年01月05日 08:55	张宏06	【走近河南爱心妈妈袁厉害】20多年来收养孩子不下100个，大多是有病的；目前有20个孩子挂在她名下，每个孩子都可以领低保，4000元的低保都用于孩子日常开销；民政部门想让她... O网页链接 (分享自@视频手机报) ​
2013年01月05日 08:54	第二新闻	【“遇难孩子不能行走火中殒命”】开封第二人民医院，被烧伤的孩子正在接受救治。受伤的孩子是小十，袁厉害的一位亲戚说：袁小十能爬动才没有被烧死，其他几个孩子不能走，所以在火灾中失去性命。丧生的最大的孩子名为袁申，他有智力障碍外加小儿麻痹，虽然能移动，但非常困难。O河南兰考民政局:未救助孤儿因无强制执法权 - 地方联播 - 新华网 ​
2013年01月05日 08:54	虚无缥缈-风儿	袁厉害你最棒 ​
2013年01月05日 08:54	任少华-	政府不应该给条件么？还要她去要？【兰考官员：袁厉害常向政府要条件 稍不从就带孩子闹事】他们没有确切的年龄，没有像样的名字，甚至还没有起名字。7个小生命逝去，心又痛了一次！谁该为这些孩子的生命负责？ O兰考官员：袁厉害常向政府要条件 稍不从就带孩子闹事_资讯频道_凤凰网 ​
2013年01月05日 08:54	陈威wellson	河南兰考民政局:未救助孤儿因无强制执法权 O河南兰考民政局:未救助孤儿因无强制执法权 （分享自 @头条新闻）至少从现在看来，袁厉害做了你们官老爷该做的事情，先不论他的动机，他所做之事你们不觉得害臊吗？你们民政局都是吃翔的吗？还是干的 ​
2013年01月05日 08:54	一个暴露年龄的视频	视频：私人收养所失火7弃儿遇难 袁厉害被控制 O私人收养所失火7弃儿遇难 袁厉害被控制|河南兰考孤儿收养所起火致7名儿童身亡|私人|收养所|失火|7弃儿|遇难_新浪视频 ​
2013年01月05日 08:53	多小好	我认为兰考弃婴妈妈袁厉害应当入选感动中国的人，尽管火灾夺走了7位被她收养的孩子。没有她的收养，连他们的爸爸妈妈都不要他们了，谁来要这些孩子？！另外，民政部门不应该因为一个纯属子虚乌有的201314而忙着婚姻登记，而是抽点人手去统计、帮助一下受冻、挨饿的人群。 ​
